@RELATION air_quality

@ATTRIBUTE pm25 REAL
@ATTRIBUTE pm10 REAL
@ATTRIBUTE o3 REAL
@ATTRIBUTE no2 REAL
@ATTRIBUTE so2 REAL
@ATTRIBUTE quality {good,hazardous,moderate,unhealthy,unhealthy_for_sensitive_groups,very_unhealthy}

@DATA
83, 64, 40, 4, 2, moderate
137, 35, 34, 2, 2, unhealthy_for_sensitive_groups
68, 36, 32, 4, 3, moderate
76, 44, 34, 4, 4, moderate
111, 58, 80, 4, 2, unhealthy_for_sensitive_groups
107, 60, 85, 6, 3, unhealthy_for_sensitive_groups
107, 54, 31, 3, 1, unhealthy_for_sensitive_groups
73, 29, 38, 1, 1, moderate
27, 26, 37, 8, 2, good
36, 45, 40, 10, 2, good
72, 57, 29, 9, 2, moderate
75, 58, 21, 17, 2, moderate
48, 45, 20, 13, 2, good
76, 42, 38, 11, 2, moderate
68, 50, 32, 8, 3, moderate
68, 66, 27, 15, 3, moderate
93, 29, 24, 3, 2, moderate
33, 22, 27, 5, 2, good
21, 53, 29, 13, 4, moderate
79, 55, 34, 14, 3, moderate
98, 52, 34, 17, 3, moderate
72, 78, 47, 17, 4, moderate
126, 81, 63, 10, 4, unhealthy_for_sensitive_groups
130, 91, 46, 13, 3, unhealthy_for_sensitive_groups
124, 134, 53, 15, 3, unhealthy_for_sensitive_groups
158, 96, 43, 15, 3, unhealthy
141, 76, 39, 12, 3, unhealthy_for_sensitive_groups
108, 26, 30, 3, 2, unhealthy_for_sensitive_groups
46, 22, 25, 6, 3, good
27, 55, 33, 10, 5, moderate
90, 113, 32, 8, 4, unhealthy_for_sensitive_groups
113, 52, 21, 11, 3, unhealthy_for_sensitive_groups
56, 101, 43, 9, 4, unhealthy_for_sensitive_groups
96, 156, 51, 15, 6, unhealthy
165, 48, 25, 13, 3, unhealthy
66, 53, 20, 20, 3, moderate
71, 56, 26, 16, 5, moderate
79, 31, 29, 8, 3, moderate
48, 68, 33, 19, 6, moderate
118, 54, 24, 23, 4, unhealthy_for_sensitive_groups
83, 36, 33, 8, 4, moderate
54, 46, 35, 15, 4, moderate
69, 89, 51, 20, 6, moderate
162, 71, 46, 12, 4, unhealthy
129, 51, 30, 11, 4, unhealthy_for_sensitive_groups
67, 55, 35, 10, 5, moderate
65, 54, 32, 7, 4, moderate
81, 47, 33, 4, 3, moderate
49, 62, 26, 10, 4, moderate
77, 44, 29, 11, 5, moderate
66, 36, 28, 10, 3, moderate
58, 78, 26, 3, 3, moderate
73, 63, 27, 7, 4, moderate
65, 63, 24, 10, 6, moderate
80, 58, 29, 7, 5, moderate
81, 42, 33, 8, 4, moderate
58, 27, 26, 7, 3, moderate
47, 35, 28, 3, 3, good
65, 27, 25, 4, 3, moderate
30, 50, 26, 12, 5, good
81, 40, 26, 7, 4, moderate
66, 19, 28, 3, 3, moderate
25, 25, 29, 8, 4, good
41, 59, 19, 18, 6, moderate
114, 60, 20, 15, 5, unhealthy_for_sensitive_groups
127, 39, 27, 7, 4, unhealthy_for_sensitive_groups
57, 63, 23, 17, 8, moderate
88, 69, 24, 17, 8, moderate
129, 28, 27, 2, 3, unhealthy_for_sensitive_groups
61, 35, 28, 10, 4, moderate
61, 68, 22, 14, 7, moderate
130, 88, 34, 15, 7, unhealthy_for_sensitive_groups
164, 140, 30, 24, 7, unhealthy
240, 136, 38, 19, 7, very_unhealthy
224, 63, 26, 15, 5, very_unhealthy
133, 43, 24, 9, 5, unhealthy_for_sensitive_groups
70, 64, 25, 15, 6, moderate
106, 25, 25, 5, 4, unhealthy_for_sensitive_groups
50, 50, 20, 13, 6, good
79, 47, 12, 14, 5, moderate
85, 35, 28, 6, 2, moderate
91, 13, 31, 1, 1, moderate
23, 51, 22, 7, 4, moderate
102, 33, 28, 7, 3, unhealthy_for_sensitive_groups
75, 93, 30, 11, 3, moderate
168, 97, 22, 13, 3, unhealthy
149, 38, 31, 2, 2, unhealthy_for_sensitive_groups
74, 53, 29, 10, 2, moderate
110, 72, 19, 16, 2, unhealthy_for_sensitive_groups
131, 44, 30, 4, 2, unhealthy_for_sensitive_groups
82, 65, 25, 8, 3, moderate
127, 72, 38, 8, 3, unhealthy_for_sensitive_groups
152, 71, 35, 11, 2, unhealthy
49, 40, 50, 6, 2, good
55, 30, 55, 2, 2, moderate
51, 44, 69, 1, 2, moderate
77, 46, 58, 1, 2, moderate
78, 35, 48, 1, 2, moderate
64, 35, 43, 3, 2, moderate
63, 44, 44, 4, 2, moderate
79, 51, 48, 6, 2, moderate
72, 34, 50, 3, 2, moderate
51, 28, 44, 3, 2, moderate
47, 46, 73, 3, 2, moderate
81, 61, 85, 3, 2, moderate
105, 47, 47, 1, 1, unhealthy_for_sensitive_groups
100, 56, 55, 3, 1, moderate
105, 35, 37, 1, 2, unhealthy_for_sensitive_groups
66, 31, 45, 2, 2, moderate
66, 31, 45, 2, 2, moderate
73, 36, 43, 2, 2, moderate
77, 52, 78, 6, 3, moderate
80, 42, 79, 3, 2, moderate
74, 26, 37, 2, 2, moderate
59, 32, 71, 3, 2, moderate
83, 36, 61, 2, 1, moderate
84, 36, 80, 3, 2, moderate
69, 27, 47, 2, 2, moderate
61, 21, 44, 2, 1, moderate
54, 29, 46, 1, 1, moderate
45, 29, 30, 3, 2, good
68, 29, 23, 4, 1, moderate
59, 30, 25, 4, 3, moderate
67, 36, 34, 3, 2, moderate
93, 29, 33, 4, 1, moderate
76, 26, 23, 4, 2, moderate
51, 30, 40, 5, 2, moderate
58, 18, 38, 1, 1, moderate
43, 11, 29, 2, 1, good
24, 14, 26, 4, 2, good
46, 21, 28, 5, 1, good
37, 15, 44, 3, 2, good
29, 37, 69, 6, 3, moderate
59, 36, 47, 6, 3, moderate
55, 39, 94, 8, 3, moderate
55, 36, 93, 8, 3, moderate
55, 43, 53, 8, 2, moderate
75, 44, 91, 6, 2, moderate
83, 69, 109, 11, 4, unhealthy_for_sensitive_groups
107, 64, 109, 10, 4, unhealthy_for_sensitive_groups
82, 35, 43, 9, 2, moderate
46, 39, 35, 11, 2, good
50, 30, 41, 5, 2, good
35, 37, 78, 7, 2, moderate
90, 61, 83, 9, 2, moderate
97, 35, 38, 7, 2, moderate
42, 25, 49, 7, 2, good
33, 29, 55, 10, 3, moderate
47, 23, 44, 5, 2, good
42, 34, 50, 9, 2, good
45, 39, 70, 7, 2, moderate
60, 21, 47, 3, 1, moderate
44, 33, 53, 5, 2, moderate
73, 37, 56, 7, 2, moderate
71, 28, 52, 3, 2, moderate
80, 56, 76, 6, 3, moderate
116, 50, 63, 6, 2, unhealthy_for_sensitive_groups
107, 44, 43, 3, 2, unhealthy_for_sensitive_groups
91, 23, 42, 3, 2, moderate
29, 39, 56, 11, 3, moderate
40, 35, 40, 5, 3, good
58, 18, 45, 3, 2, moderate
39, 23, 43, 8, 3, good
32, 50, 59, 9, 3, moderate
56, 29, 31, 11, 3, moderate
41, 36, 33, 3, 2, good
40, 29, 39, 8, 3, good
24, 51, 56, 15, 3, moderate
60, 31, 55, 3, 2, moderate
42, 30, 45, 2, 2, good
44, 42, 53, 9, 3, moderate
57, 52, 70, 16, 3, moderate
74, 60, 49, 13, 2, moderate
82, 37, 59, 7, 2, moderate
56, 39, 73, 9, 3, moderate
62, 49, 82, 8, 2, moderate
72, 68, 114, 10, 3, unhealthy_for_sensitive_groups
107, 75, 96, 9, 3, unhealthy_for_sensitive_groups
112, 60, 91, 4, 2, unhealthy_for_sensitive_groups
57, 42, 24, 14, 2, moderate
65, 58, 28, 15, 2, moderate
85, 80, 37, 6, 2, moderate
115, 188, 31, 5, 2, unhealthy
95, 102, 29, 4, 1, unhealthy_for_sensitive_groups
76, 56, 25, 7, 1, moderate
52, 44, 27, 10, 2, moderate
55, 21, 31, 6, 1, moderate
53, 33, 30, 6, 2, moderate
59, 51, 29, 15, 3, moderate
88, 65, 40, 11, 3, moderate
155, 65, 44, 7, 2, unhealthy
150, 78, 37, 8, 4, unhealthy_for_sensitive_groups
74, 64, 39, 7, 4, moderate
84, 51, 36, 3, 3, moderate
69, 49, 44, 2, 6, moderate
82, 75, 35, 3, 1, moderate
64, 29, 30, 4, 1, moderate
63, 45, 29, 6, 3, moderate
47, 53, 35, 13, 1, moderate
50, 32, 34, 3, 1, good
57, 65, 39, 7, 1, moderate
93, 110, 27, 8, 3, unhealthy_for_sensitive_groups
66, 76, 36, 10, 2, moderate
85, 67, 50, 12, 3, moderate
111, 54, 41, 5, 1, unhealthy_for_sensitive_groups
77, 61, 37, 4, 1, moderate
78, 61, 30, 10, 1, moderate
52, 54, 37, 9, 2, moderate
66, 67, 41, 6, 3, moderate
95, 68, 54, 8, 3, moderate
113, 72, 46, 6, 2, unhealthy_for_sensitive_groups
105, 47, 37, 4, 2, unhealthy_for_sensitive_groups
62, 48, 53, 3, 2, moderate
73, 63, 30, 6, 1, moderate
74, 68, 40, 5, 2, moderate
74, 31, 34, 1, 1, moderate
63, 31, 35, 2, 1, moderate
48, 29, 36, 6, 1, good
64, 75, 28, 2, 1, moderate
53, 52, 42, 8, 2, moderate
66, 57, 71, 6, 2, moderate
93, 61, 62, 6, 3, moderate
91, 81, 73, 13, 3, moderate
120, 71, 63, 2, 4, unhealthy_for_sensitive_groups
71, 17, 34, 8, 1, moderate
55, 43, 46, 19, 3, moderate
49, 47, 53, 14, 3, moderate
68, 49, 42, 11, 4, moderate
72, 40, 38, 2, 2, moderate
58, 71, 43, 3, 3, moderate
77, 49, 34, 2, 2, moderate
71, 41, 30, 7, 2, moderate
72, 43, 30, 5, 1, moderate
82, 22, 28, 2, 1, moderate
57, 28, 36, 3, 1, moderate
60, 38, 31, 2, 2, moderate
63, 28, 34, 1, 1, moderate
59, 19, 31, 2, 1, moderate
34, 19, 31, 2, 1, good
41, 23, 27, 2, 1, good
46, 32, 30, 2, 1, good
55, 27, 59, 3, 1, moderate
59, 39, 53, 6, 2, moderate
63, 26, 38, 5, 2, moderate
35, 42, 48, 5, 2, good
49, 47, 74, 3, 2, moderate
68, 22, 47, 3, 2, moderate
53, 23, 37, 3, 1, moderate
51, 33, 43, 5, 1, moderate
70, 45, 56, 13, 2, moderate
61, 53, 59, 14, 2, moderate
58, 32, 47, 4, 1, moderate
60, 30, 40, 3, 1, moderate
54, 37, 37, 5, 3, moderate
75, 42, 44, 7, 2, moderate
70, 36, 30, 4, 1, moderate
74, 32, 53, 2, 1, moderate
71, 45, 64, 4, 2, moderate
82, 38, 43, 6, 3, moderate
152, 81, 18, 29, 7, unhealthy
155, 93, 21, 28, 5, unhealthy
162, 133, 23, 36, 10, unhealthy
214, 38, 27, 9, 3, very_unhealthy
52, 36, 25, 13, 4, moderate
66, 88, 17, 31, 7, moderate
161, 58, 27, 15, 5, unhealthy
86, 42, 25, 9, 3, moderate
44, 88, 15, 27, 7, moderate
161, 127, 13, 34, 9, unhealthy
